"REMARKS","RUNWAY","DIRECTION","AIRPORT","dateonly","timeonly","DATE","CALLSIGN","POD","PRIMARYCODE","SECONDARYCODES","REPORTINGFACILITY","MORID.CEDAR","FACILITY.CEDAR","UTCTIME.CEDAR","UTCTIME24.CEDAR","CALENDARDATE.CEDAR","NEARESTAIRPORT.CEDAR","AIRSPACECLASS.CEDAR","ACLOCATION.CEDAR","ACALTITUDE.CEDAR","ACHEADING.CEDAR","RELATIVECLOCKPOSITION.CEDAR","UASLONG.CEDAR","UASLAT.CEDAR","SUMMARY.CEDAR","QAFINDINGS.CEDAR","RWYLOCATION","UASLOCATION","DATASET"
"Pilot reported a quad-copter UAS from the 12 o'clock position while on a 1 NM final to RWY 07L. No evasive action taken. Phoenix PD notified at. ","['rwy07l']","['1 NM ']","[]","4/1/2019","23:00","2019-04-01T23:00Z","PAT045A","DEN","UAS",NA,"P50",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"RWY 07L","P50","RUNWAY"
"After departingRWY 07L, reported a UASover Campbell airstrip at 2,000 feet. No evasive action taken. LEOwas not notified.","['rwy07l']","[]","[]","4/3/2019","3:13","2019-04-03T03:13Z","RYA219","DEN","UAS",NA,"WOC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"RWY 07L","WOC","RUNWAY"
"Pilot reported a black and silver four-rotor type UAS off left side of aircraft at 900-1,000 feet on 2 NMfinal to RWY 36L. No evasive action taken. Orange County Sheriff Air Division notified at. ","['rwy36l']","[]","[]","4/4/2019","20:54","2019-04-04T20:54Z","NKS902","DEN","UAS",NA,"MCO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"RWY 36L","MCO","RUNWAY"
"Pilot reported a black quad-copterUAS at 3,000 feet while SE boundon a 6 NMfinal to RWY 13R. Evasive action taken. Texas DPS notified. ","['rwy13r']","[]","['13R']","4/5/2019","21:40","2019-04-05T21:40Z","LIMO73","DEN","UAS",NA,"SAT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"RWY 13R","SAT","RUNWAY"
"Aircraft reported two red and white UAS whileat 1500 feet on 4 NMfinal RWY 09 to MIA.No evasive action taken. LEOnotified.","['rwy09 ']","[]","['MIA']","4/6/2019","5:37","2019-04-06T05:37Z","RPA4385","DEN","UAS",NA,"WOC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"RWY 09","WOC","RUNWAY"
"PIC reported two white UAS while on final to RWY 24R. First UAS sighted while on a 5 NM final at 1,500 feet. Second UAS sighted on 1 NM final at 800 feet. No evasive action taken. LEO notification not reported.","['rwy24r']","['5 NM ', '1 NM ']","['24R']","4/7/2019","4:40","2019-04-07T04:40Z","SWA293","DEN","UAS",NA,"LAX",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"RWY 24R","LAX","RUNWAY"
"A90 reports via MOR, PIC reported a UAS in the vicinity of COHAS while on the final to RWY 33L. No evasive action reported. Massachusetts State Police notified at and they are investigating.Multiple Aircraft reported same activity prompting BOS to change arrival runway to RWY 27. ATC operations and arrival rate not impacted. No further reports of UAS activity after runway change. 1535 HQ DEN contacted A90 and explained the requirement to report future similar events that impact operations/runway usage needs to be relayed over the DEN. NB/NW advised.","['rwy33l', 'rwy27 ']","[]","['MOR', 'BOS', 'DEN', 'DEN']","4/11/2019","20:38","2019-04-11T20:38Z","UAL2310","DEN","UAS","PAGED","A90",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"RWY 33L","A90","RUNWAY"
"Reported a black 6 rotor UAS operating off of the left side at 3,500 feet while NNE bound at 5,000 feet on left base for RWY 29L. Evasive action not reported. TAA Dispatch notified at. ","['rwy29l']","[]","[]","4/14/2019","1:15","2019-04-14T01:15Z","N6918H","DEN","UAS",NA,"TUS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"RWY 29L","TUS","RUNWAY"
"Aircraft reporteda white UAS pass 300 feet belowwhile W bound at 2,600 feet on a 5 NM final to RWY 26R. No evasive action taken. Houston PD notified at. ","['rwy26r']","['5 NM ']","['26R']","4/14/2019","23:33","2019-04-14T23:33Z","UAL1638","DEN","UAS",NA,"IAH",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"RWY 26R","IAH","RUNWAY"
"Aircraft reported UAS at 5,500 feet while on final for RWY 36L. No evasive action taken. LEO notification not reported. ","['rwy36l']","[]","[]","4/16/2019","20:01","2019-04-16T20:01Z","JIA5237","DEN","UAS",NA,"CLT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"RWY 36L","CLT","RUNWAY"
"Aircraft observed one, possibly two UAS off the left side after departing RWY 09L at 3,500 feet in the vicinity of PHL. No evasive action taken. PHL PD notified at. ","['rwy09l']","[]","['PHL', 'PHL']","4/22/2019","20:56","2019-04-22T20:56Z","JIA5581","DEN","UAS",NA,"PHL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"RWY 09L","PHL","RUNWAY"
"Aircraft reported UAS at 3,500 after departing PHL RWY 09L. No evasive action reported. PHL PD notified at unknown number.","['rwy09l']","[]","['PHL', 'PHL']","4/23/2019","17:46","2019-04-23T17:46Z","AAL540","DEN","UAS",NA,"PHL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"RWY 09L","PHL","RUNWAY"
"Reported a UAS while SW bound at 2,000feet on 5 NM final RWY 22 LGA. No evasive action taken. No description, altitude, or location of UAS given. NYPD Aviation unit notified at.","['rwy22 ']","['5 NM ']","['LGA']","4/24/2019","1:53","2019-04-24T01:53Z","DAL867","DEN","UAS",NA,"LGA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"RWY 22","LGA","RUNWAY"
"Reported observing a fixed-wing, white UAS with 4 props and a camera underneath itwhile descending through 800feet on final forRWY 34R at SMF. UAS was hovering 100-200feet ahead and to the right of aircraft. No evasive action reported. No report if LEO notified. ","['rwy34r']","[]","['34R', 'SMF']","4/24/2019","6:28","2019-04-24T06:28Z","N222LX","DEN","UAS",NA,"SMF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"RWY 34R","SMF","RUNWAY"
"Observed a black drone with yellow and green trimwhile on downwind to RWY 24 and abeam RWY 34 at 1,000feet 20-30 feetoff aircraft's left wing.  ","['rwy24 ', 'rwy34 ']","[]","[]","4/26/2019","3:27","2019-04-26T03:27Z","N571SP","DEN","UAS",NA,"TTN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"RWY 24","TTN","RUNWAY"
"Reported a yellow UAS operating at approximately 500 feet whileNW bound at 600 feet on a 2 NM final for RWY 31L. Noevasive action taken. LEO notified at. ","['rwy31l']","['2 NM ']","[]","4/27/2019","23:50","2019-04-27T23:50Z","IBE6251","DEN","UAS",NA,"JFK",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"RWY 31L","JFK","RUNWAY"
"Reported a black UAS off of the rightwhile W bound at 700 feet on a 4 NM final for RWY 28L. Evasive action not reported. SF PD notified at. ","['rwy28l']","['4 NM ']","[]","4/28/2019","5:16","2019-04-28T05:16Z","AAR212","DEN","UAS",NA,"SFO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"RWY 28L","SFO","RUNWAY"
