"REMARKS","RUNWAY","DIRECTION","AIRPORT","dateonly","timeonly","DATE","CALLSIGN","POD","PRIMARYCODE","SECONDARYCODES","REPORTINGFACILITY","MORID.CEDAR","FACILITY.CEDAR","UTCTIME.CEDAR","UTCTIME24.CEDAR","CALENDARDATE.CEDAR","NEARESTAIRPORT.CEDAR","AIRSPACECLASS.CEDAR","ACLOCATION.CEDAR","ACALTITUDE.CEDAR","ACHEADING.CEDAR","RELATIVECLOCKPOSITION.CEDAR","UASLONG.CEDAR","UASLAT.CEDAR","SUMMARY.CEDAR","QAFINDINGS.CEDAR","RWYLOCATION","UASLOCATION","DATASET"
"Reported sighting a UAS at same altitude while Wbound at 2,000 feet on a 7 NM final to RWY 27R. Evasive action not reported. Philadelphia PD notified at.","['rwy27r']","['7 NM ']","['27R']","6/22/2019","5:08","2019-06-22T05:08Z","RPA4532","DEN","UAS",NA,"PHL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"RWY 27R","PHL","RUNWAY"
"Reported a UAS while on final for RWY 28. The UAS was 200 ft. above while at an altitude of 3,200 ft. No evasive action taken. Crayton County PD was notified at. ","['rwy28 ']","[]","[]","6/22/2019","23:20","2019-06-22T23:20Z","SKW3621","DEN","UAS",NA,"ATL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"RWY 28","ATL","RUNWAY"
"Reported sighting a white Quad-copter UAS 300 feet off of the right side while WNW bound out of 6,000 feet and descending on final to RWY 29L. No evasive action taken. LEO was not notified. ","['rwy29l']","[]","[]","6/24/2019","5:45","2019-06-24T05:45Z","N63NM","DEN","UAS",NA,"FAT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"RWY 29L","FAT","RUNWAY"
"Black quadcopter, operating 400 feet off their left side while on .5 final for RWY 22L. No evasive action taken. Chicago Police notified at.","['rwy22l']","[]","[]","6/26/2019","19:48","2019-06-26T19:48Z","JTL887","DEN","UAS",NA,"MDW",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"RWY 22L","MDW","RUNWAY"
"Reported a black and blue UAS at 50 FT while on two NM final to RWY 32. No evasive action taken SCPD was notified. ","['rwy32 ']","[]","[]","6/27/2019","0:11","2019-06-27T00:11Z","N621PF","DEN","UAS",NA,"FRG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"RWY 32","FRG","RUNWAY"
"Black and white UAS while on a RWY 18 7 mi final at 1500 ft. No evasive action taken. No LEO report made. ","['rwy18 ']","[]","[]","6/27/2019","20:32","2019-06-27T20:32Z","NKS1407","DEN","UAS",NA,"MYR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"RWY 18","MYR","RUNWAY"
"Reported sighting a UAS operating at 1,900 feet while Nbound at 1,900 feet on an 8 NM final to RWY 34. Evasive action not reported. LEO notification was not provided. ","['rwy34 ']","['8 NM ']","[]","6/27/2019","22:55","2019-06-27T22:55Z","OPT361","DEN","UAS",NA,"HPN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"RWY 34","HPN","RUNWAY"
"Tinker AFB reported sighting a UAS off of the left side while Sbound at500 feet on a 2.5 NM final to RWY 18. No evasive action taken. Base Security and MidW City PD notified. ","['rwy18 ']","[]","[]","6/28/2019","4:22","2019-06-28T04:22Z","BOXED14","DEN","UAS",NA,"OKC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"RWY 18","OKC","RUNWAY"
"Aircraft reports a white quad copter at 2,200 feet while in closed traffic for RWY 19L. No evasive action taken.Tulsa PDnotified. ","['rwy19l']","[]","[]","7/1/2019","5:05","2019-07-01T05:05Z","N919SC","DEN","UAS",NA,"RVS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"RWY 19L","RVS","RUNWAY"
"Reported a drone at 1100 feet on a 3 mi base to final RWY 24. No evasive action reported. Nantucket PD notified. ","['rwy24 ']","[]","[]","7/4/2019","0:06","2019-07-04T00:06Z","N949SA","DEN","UAS",NA,"ACK",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"RWY 24","ACK","RUNWAY"
"8 rotor UAS at 150 feet while W bound at 800 feet, 1/2 NM off the departure end of RWY 28L. No evasive action taken. Columbus PD notified. ","['rwy28l']","[]","[]","7/4/2019","22:33","2019-07-04T22:33Z","SWA267","DEN","UAS",NA,"CMH",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"RWY 28L","CMH","RUNWAY"
"Reported a orangeUAS off theright side while W bound at 1,500 feet on a3 NM final toRWY 27.No evasive action. Houston PD Air Unit notified at. ","['rwy27 ']","['3 NM ']","[]","7/5/2019","23:15","2019-07-05T23:15Z","UAL567","DEN","UAS",NA,"IAH",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"RWY 27","IAH","RUNWAY"
"After departure, PIC reported a quad copter UAS at 1,500 feet hovering off the departure end of RWY 10. No evasive action taken. ","['rwy10 ']","[]","[]","7/9/2019","4:37","2019-07-09T04:37Z","N12442","DEN","UAS",NA,"DPA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"RWY 10","DPA","RUNWAY"
"Aircraft reports a UAS while on 4.8 NM final to RWY 04R at 1,200 ft. No evasive action taken. Mass. State Police notified at.","['rwy04r']","['8 NM ']","[]","7/10/2019","2:05","2019-07-10T02:05Z","AAL1239","DEN","UAS",NA,"BOS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"RWY 04R","BOS","RUNWAY"
"PIC reported a white UAS in front of them and 500 feet below them while SE bound at 6,500 feet 6 NM final to RWY 16L. No evasive action reported. Salt Lake City Airport PD notified at.","['rwy16l']","['6 NM ']","[]","7/12/2019","6:05","2019-07-12T06:05Z","AMF7788","DEN","UAS",NA,"SLC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"RWY 16L","SLC","RUNWAY"
"While on rotation to RWY 26L, aircraft reported to the Tower what was possibly a UAS flying opposite direction overhead the aircraft at approximately 20 feet above the aircraft. No other description was received at the time the ramp called for a RWY inspection. MDAD Aviation PD notified. Tower personnel reported no sighting and ramp vehicle's reported the same. All aircraft inventory for RWY 26 were advised of the possible sighting and offered alternative departure actions.","['rwy26l', 'rwy26 ']","[]","['MDA']","7/28/2019","2:30","2019-07-28T02:30Z","RPA4441","DEN","UAS",NA,"MIA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"RWY 26L","MIA","RUNWAY"
"California Air National Guard reported a UAS off the departure end of RWY 29 near the 168 freeway. UAS was spotted visually by FAT ATCT. Airport Operations attempted to search for the UAS with no findings. FAT ATCT lost visual contact at 0330.","['rwy29 ']","[]","['FAT', 'TCT', 'FAT', 'TCT']","8/1/2019","3:15","2019-08-01T03:15Z",NA,"DEN","UAS",NA,"FAT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"RWY 29","FAT","RUNWAY"
"Unidentified aircraft observed a UAS operating 500 feet off of the approach end of RWY 20 at JWN. No evasive action was taken. Nashville Airport PD notified at.","['rwy20 ']","[]","['JWN']","9/9/2019","20:05","2019-09-09T20:05Z",NA,"DEN","UAS",NA,"BNA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"RWY 20","BNA","RUNWAY"
"PIC observed 2 quad copter UAS with orange lights off the right side while SW bound at 900 feet while on final to RWY 22. No evasive action was taken. NYPD Aviation Unit notified.","['rwy22 ']","[]","[]","9/22/2019","2:01","2019-09-22T02:01Z","AAL1942","DEN","UAS",NA,"LGA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"RWY 22","LGA","RUNWAY"
"Aircraft observed two white UAS while W bound at 700 feet 3 NM final to RWY 26L. No evasive action was taken. LGB Airport PD notified at.","['rwy26l']","['3 NM ']","['LGB']","9/27/2019","20:08","2019-09-27T20:08Z","N4390S","DEN","UAS",NA,"LGB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"RWY 26L","LGB","RUNWAY"
"Columbus Airport PD received reports of an individual operating a UAS off the departure end of RWY 28L within 5 NM of the airport. LEO interviewed an individual with a drone in the area but did not observe the UAS airborne. Investigation ongoing. No aircraft were involved in this incident.","['rwy28l']","['5 NM ']","[]","9/28/2019","17:23","2019-09-28T17:23Z",NA,"DEN","UAS",NA,"CMH",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"RWY 28L","CMH","RUNWAY"
"SIG ATCT reports aircraft reported a grey quad-copter UAS while on left base at 400 feet, RWY 09 to SIG. Pilot took an evasive climb to avoid collision with UAS. Puerto Rico PD notified at. No further sightings reported. No impact to operations.  ","['rwy09 ']","[]","['SIG', 'TCT', 'SIG']","10/11/2019","20:05","2019-10-11T20:05Z","N4400T","DEN","UAS",NA,"HQ DEN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"RWY 09","HQ DEN","RUNWAY"
"Aircraft and tower personnel observed a black quad-copter UAS with green and blue lights at 300 feet on short final to RWY 28L. No evasive action was taken. Columbus airport PD notified at. ","['rwy28l']","[]","[]","10/24/2019","13:56","2019-10-24T13:56Z","N501LS","DEN","UAS",NA,"CMH",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"RWY 28L","CMH","RUNWAY"
"Airport ground personnel observed a UAS with green and red lights approximately 300 feet AGL off the departure end of RWY 31R. No aircraft in the vicinity. LEO notified.","['rwy31r']","[]","[]","11/2/2019","1:34","2019-11-02T01:34Z",NA,"DEN","UAS",NA,"RHV",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"RWY 31R","RHV","RUNWAY"
"POSSIBLE MEDIA EVENT: Aircraft impacted a UAS on the front of the aircraft while NE bound at 5,000 feet, damage unknown, UAS description unknown, no injuries reported. Landed RWY 27L at 0104. 0108 TSOC reports UAL Dispatch reports incident was a bird strike. 0122 PIC confirms incident was a bird strike, small dent on the nose. No injuries. AWO/ATCSCC/MR/SAFETY notified. NFA.","['rwy27l']","[]","['SSI', 'TSO', 'AWO', 'TCS', 'SAF']","11/6/2019","1:02","2019-11-06T01:02Z","UAL1070","DEN","UAS","COD, EMERGENCY","ZAU",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"RWY 27L","ZAU","RUNWAY"
"Anonymous call received at the Hillsboro Country Aviation Authority of a UAS operating at 2,000 feet over the S portion of RWY 01R at TPA. No evasive action reported. LEO notification not reported. ","['rwy01r']","[]","['TPA']","12/6/2019","19:36","2019-12-06T19:36Z",NA,"DEN","UAS",NA,"TSOC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"RWY 01R","TSOC","RUNWAY"
"Aircraft reported multiple UAS off the right side, while at 500 feet, short final to RWY 30 OAK. No evasive action taken. Alameda County Sferiff notified at. 
","['rwy30 ']","[]","['OAK']","12/27/2019","5:05","2019-12-27T05:05Z","SWA2451","DEN","UAS",NA,"OAK",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"RWY 30","OAK","RUNWAY"
"0242 BUF ATCT observed a UAS overfly RWY 14/32 and the terminal area. No Aircraft involved. HQ DEN was not notified at the time of the event. NFTA notified at 630-6150.","['rwy14']","[]","['BUF', 'TCT', 'DEN']","1/2/2020","3:00","2020-01-02T03:00Z",NA,"DEN","UAS",NA,"WOC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"RWY 14","WOC","RUNWAY"
"PBI County Department of Airports Operations Manager reported a UAS found in the grass S of RWY 28R extended centerline, E of TWYL7. No aircraft involved.  Palm Beach County Sheriff notified at. 1625 Airport Manager provided case number #20031712.","['rwy28r']","[]","['PBI']","1/29/2020","16:15","2020-01-29T16:15Z",NA,"DEN","UAS",NA,"PBI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"RWY 28R","PBI","RUNWAY"
"COS observed two UAS overflying the terminal, Airport Operations notified local law enforcement, currently no impact to operations. HQ DEN reached out to COS Military Operations, Sandy Creek Airport PD investigating, currently one drone visible between 100 and 200 feet E of RWY 35R within Class C airspace. 0427 COS Airport Operations reports no sightings in the last 40 minutes, investigation ongoing.","['rwy35r']","[]","['COS', 'DEN', 'COS', 'COS']","2/1/2020","2:55","2020-02-01T02:55Z",NA,"DEN","UAS",NA,"COS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"RWY 35R","COS","RUNWAY"
"Local control observed a UAS operating in VCNTY of RWY 08 approach end. PIC confirmed a large UAS was operating at approximately 500 feet. No evasive action taken. Local PD and ARPT Security notified. ","['rwy08 ']","[]","[]","2/8/2020","6:12","2020-02-08T06:12Z","HAL552","DEN","UAS",NA,"ITO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"RWY 08","ITO","RUNWAY"
"MOR stated aircraft observed a fixed wing remote control aircraft operating at approximately at 800 feet, 1/4 NM off approach end RWY 04L. No evasive action was taken. Mesa PD notified and dispatch to location of sighting. 2145 HQ DEN contacted FFZ ATCT who states RC did not impact operations and Mesa PD was unable to locate the pilot. No further sightings have been reported or observed from ATCT. ","['rwy04l']","['4 NM ']","['MOR', 'DEN', 'FFZ', 'TCT', 'TCT']","2/24/2020","20:30","2020-02-24T20:30Z","N21329","DEN","UAS","MOR","FFZ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"RWY 04L","FFZ","RUNWAY"
"(via MOR) Airport OPS observed a UAS off the N side of the airport, approach end of RWY 13L at approximately 100 feet. No Aircraft involved. No impact to operations reported. Dallas DPS notified at. HQ DEN contacted DAL ATCT informing them of the need to report UAS activity to the DEN.","['rwy13l']","[]","['MOR', 'DEN', 'DAL', 'TCT', 'DEN']","2/29/2020","19:22","2020-02-29T19:22Z",NA,"DEN","UAS",NA,"DAL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"RWY 13L","DAL","RUNWAY"
"Employee of HSV observed a UAS around RWY 36L approach lights at HSV. HSV ATCT controllers amended the landing clearance of an arriving aircraft to land on RWY 36R. HSV airport authority was notified and made contact with the UAS operator. UAS was not part 107. UAS operator has not been arrested and no charges are pending at this time. ","['rwy36l', 'rwy36r']","[]","['HSV', 'HSV', 'HSV', 'TCT', 'HSV']","3/7/2020","21:00","2020-03-07T21:00Z",NA,"DEN","UAS",NA,"HSV",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"RWY 36L","HSV","RUNWAY"
"Passengers observed a white quadcopter at 2,000 feet off the left wing of the aircraft while the aircraft was approximately 4 NM off the departure end of RWY 12R. No evasive action taken. Local law enforcement notified.","['rwy12r']","[]","[]","3/8/2020","17:45","2020-03-08T17:45Z","EJM194","DEN","UAS",NA,"VRB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"RWY 12R","VRB","RUNWAY"
"San Diego Harbor PD notified Tower personnel that a UAS with white lights had been spotted operating near the W end of the airport at departure end of RWY 27 traveling E bound . A departure delay of less than 5 minutes affected a few departures. AWO notified. ","['rwy27 ']","[]","['AWO']","4/4/2020","4:07","2020-04-04T04:07Z",NA,"DEN","UAS",NA,"SAN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"RWY 27","SAN","RUNWAY"
"ATCT personnel observed a yellow UAS off the departure end of RWY 21R at 200 feet AGL. No impact to operations reported. LE notification not reported. ","['rwy21r']","[]","['TCT']","4/25/2020","15:45","2020-04-25T15:45Z",NA,"DEN","UAS",NA,"PDK",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"RWY 21R","PDK","RUNWAY"
"Local LE reported a suspicious package on the ground at 1 NM final to RWY 21 at GEG. LE using a UAS to investigate. RWY 21 operations terminated UFN. RWY 26 in use. No impact expected. AWO advised. 1544 TSOC reports suspicious package identified as a propane tank with flares taped to the outside. Package has been transported off the site for investigation and disposal. 1604 SOSC reports local LE reports device moved 15 feet into an adjacent parking lot for easier access. 1650 GEG reports local LE cleared the package and removed it from the RWY 21 final. Normal operations resumed. No impact reported. 1700 SOSC verified with local LE that device was deactivated and removed by EOD. NFA. AWO advised. ","['rwy21 ', 'rwy21 ', 'rwy26 ', 'rwy21 ']","['1 NM ']","['GEG', 'AWO', 'TSO', 'OSC', 'GEG', 'OSC', 'EOD', 'AWO']","4/30/2020","14:03","2020-04-30T14:03Z",NA,"DEN","SUSPICIOUS ACTIVITY","LAW ENFORCEMENT, UAS","GEG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"RWY 21","GEG","RUNWAY"
"Tower observed a UAS maneuvering on final to RWY 10L between 0 to 100 feet  .25 to 2 NM  W of FLL. No evasive action was taken, information broadcast on ATIS. Broward County Sheriff notified at. 1837 FLL reports no other observations of UAS or impact to operations. ","['rwy10l']","['2 NM ']","['FLL', 'FLL']","6/20/2020","18:05","2020-06-20T18:05Z",NA,"DEN","UAS","MOR","FLL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"RWY 10L","FLL","RUNWAY"
"An employee reported sighting a UAS operating between I-215 and the approach end of RWY 35 at approximately 100 to 200 feet. Salt Lake City Airport PD notified. ","['rwy35 ']","[]","[]","7/5/2020","4:30","2020-07-05T04:30Z",NA,"DEN","UAS",NA,"SLC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"RWY 35","SLC","RUNWAY"
"SAN PD reported a civilian reported sighting a UAS S of 1 NM final RWY 27 operating below 400 feet, no aircraft sightings, no impact to operations.","['rwy27 ']","['1 NM ']","['SAN']","7/23/2020","4:55","2020-07-23T04:55Z",NA,"DEN","UAS",NA,"SAN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"RWY 27","SAN","RUNWAY"
"HLGN21 a UAS at 2,100 feet on base to RWY 18 full stop when it lost link, UAS started a climbing right turn to the lost link holding area. Operator regained control 1 minute after incident and UAS landed without incident. NFA.","['rwy18 ']","[]","['HLG', 'N21']","7/24/2020","1:55","2020-07-24T01:55Z","HLGN21","DEN","UAS",NA,"FAR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"RWY 18","FAR","RUNWAY"
"SWA1106 and JBU1712 observed a 3 foot wide brown and tan quad-copter UAS off the front while NW bound turning base to final at 2,000 feet 7.5 NE of BOS. Both flight crews reported the UAS was within 300 feet of their aircraft. A90 reports that they had to change from a RWY 22L operation to a RWY 33L operation with no effect to airport capacity. Massachusetts State Police were notified at and Revere Police were notified at. AWO/MR notified. ","['rwy22l', 'rwy33l']","[]","['WA11', 'BOS', 'AWO']","7/26/2020","19:20","2020-07-26T19:20Z","SWA1106","DEN","UAS",NA,"A90",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"RWY 22L","A90","RUNWAY"
"San Diego PD advised ATCT that a UAS was observed operating 1/2 W RWY 27 SAN. No visual sighting from SAN ATCT. ","['rwy27 ']","[]","['TCT', 'SAN', 'SAN', 'TCT']","8/16/2020","3:37","2020-08-16T03:37Z",NA,"DEN","UAS","MOR","SAN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"RWY 27","SAN","RUNWAY"
"Airport Police observed a UAS on airport property S of RWY 26 while conducting rounds. Airport OPS later contacted the construction company doing work on the airport and discovered it was the construction supervisor. Supervisor was was unaware he could not fly the drone around airport grounds. No impact to OPS. ","['rwy26 ']","[]","[]","8/20/2020","7:13","2020-08-20T07:13Z",NA,"DEN","UAS",NA,"LBB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"RWY 26","LBB","RUNWAY"
"Passenger observed a UAS off the left side while E bound at 2,000 feet over James Campbell HS on final for RWY 08L. No evasive action was taken. Honolulu PD notified at. ","['rwy08l']","[]","[]","9/12/2020","2:00","2020-09-12T02:00Z","AAL143","DEN","UAS",NA,"HCF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"RWY 08L","HCF","RUNWAY"
"Tug driver advised ATCT of UAS over airport vicinity of SE Hangars. White/black UAS observed by ATCT 150 feet in the area, approach end RWY 21. Santa Monica Police notified. Police located operator, who then landed and retrieved the UAS.","['rwy21 ']","[]","['TCT', 'TCT']","9/28/2020","21:45","2020-09-28T21:45Z",NA,"DEN","UAS",NA,"SMO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"RWY 21","SMO","RUNWAY"
"Multiple aircraft have observed a UAS while NE bound at 700 feet 3 NM final RWY 04. No evasive action was taken. Airport Sheriff Department notified at.","['rwy04 ']","['3 NM ']","[]","10/26/2020","15:55","2020-10-26T15:55Z","AAY969","DEN","UAS",NA,"PIE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"RWY 04","PIE","RUNWAY"
"FCM ATCT observed a small orange and white UAS off the approach end of RWY 36. No impact to operations. Eden Prairie PD notified at and located UAS operator.","['rwy36 ']","[]","['FCM', 'TCT']","11/6/2020","15:15","2020-11-06T15:15Z",NA,"DEN","UAS","MOR","FCM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"RWY 36","FCM","RUNWAY"
"DFW DPS observed a UAS E of the departure end of RWY 35R. LEO contacted UAS operator who is authorized to operate in the area under an approved CSA COA but had not followed notification protocols. No impact to operations. DFW DPS notified at.","['rwy35r']","[]","['DFW', 'DFW']","11/27/2020","19:15","2020-11-27T19:15Z",NA,"DEN","UAS",NA,"DFW",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"RWY 35R","DFW","RUNWAY"
"1730-1800: PIC observed a quad-copter UAS operating in the vcty of TWY B3, B4, B Hangars, and RWY 02. UAS then departed the airfield to the SW. ATCT was unable to locate the UAS, but switched operations to a right pattern for RWY 33 as a precaution. Wfield Police Department, and Air National Guard Security were advised and conducted a search with negative results. AWO/JH notified.","['rwy02 ', 'rwy33 ']","[]","['TCT', 'AWO']","12/26/2020","18:15","2020-12-26T18:15Z","N15538","DEN","UAS","NOTIFICATION-LATE","BAF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"RWY 02","BAF","RUNWAY"
"PIC reported a UAS on taxiway D short of RWY 02, no impact to operations, Airport PD retrieved the UAS. AWO/WOC notified. ","['rwy02']","[]","['AWO']","1/10/2021","16:54","2021-01-10T16:54Z","CAP4512","DEN","UAS",NA,"PHF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"RWY 02","PHF","RUNWAY"
"Airport Wildlife Officier observed a UAS off the approach end of RWY 31 and then exited the area ""over the Tech Center"". No aircraft were involved, no impact to ATC operations. ANG Security was notified at.","['rwy31 ']","[]","[]","1/11/2021","16:40","2021-01-11T16:40Z",NA,"DEN","UAS",NA,"ACY",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"RWY 31","ACY","RUNWAY"
"After N9331W landed RWY 36R the ASDE/ASSC triggered for a go around RWY 36R.  It was reported as a nuisance alert and reported to the CVG automation team.  Upon investigation, the team determined that the reason was a UAS on a UAT squawk code  that was directly behind the aircraft by 2946ft.  It is unknown if the pilot noticed a UAS. LEO notification not reported due to late report. ","['rwy36r', 'rwy36r']","[]","['ASD', 'SSC', 'CVG']","1/20/2021","16:22","2021-01-20T16:22Z","N9331W","DEN","UAS","MOR, NOTIFICATION-LATE","CVG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"RWY 36R","CVG","RUNWAY"
"Aircraft observed 2 small UAS off the left side while NE bound at 2,300 feet, 5 NM final RWY 04. No evasive action was taken. Houston Police notified at.","['rwy04 ']","['5 NM ']","[]","3/23/2021","23:19","2021-03-23T23:19Z","ASH5749","DEN","UAS",NA,"HOU",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"RWY 04","HOU","RUNWAY"
"Tower observed a UAS off the approach end of RWY 12 about a half a NM at approximately 3,000. Lewiston PD notified at. ","['rwy12 ']","[]","[]","3/27/2021","17:45","2021-03-27T17:45Z",NA,"DEN","UAS",NA,"LWS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"RWY 12","LWS","RUNWAY"
"OMA Airport PD observed a drone circling OMA Airport Rd. and RWY 14L during routine patrol. UAS was reported as palm sized by LEO and not observed by any aircraft or ATCT. No impact to air traffic. OMAHA PD notified at. AWO/TSOC notified.","['rwy14l']","[]","['OMA', 'OMA', '14L', 'TCT', 'OMA', 'AWO', 'TSO']","3/28/2021","19:20","2021-03-28T19:20Z",NA,"DEN","UAS",NA,"OMA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"RWY 14L","OMA","RUNWAY"
"Aircraft observed 3 silver and round UAS while W bound at 1,700 feet on 3 NM final for RWY 28C. No evasive action was taken. Chicago PD notified at.","['rwy28c']","['3 NM ']","[]","4/5/2021","12:58","2021-04-05T12:58Z","AWI3806","DEN","UAS",NA,"ORD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"RWY 28C","ORD","RUNWAY"
"Airport operations found a UAS on the AOA near the W end of RWY 24R/24L. No impact to operations, LAX had no knowledge. LEO confiscated UAS. ","['rwy24r']","[]","['24R', 'LAX']","5/12/2021","0:35","2021-05-12T00:35Z",NA,"DEN","UAS",NA,"TSOC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"RWY 24R","TSOC","RUNWAY"
"ATCT observed a UAS off the N side of RWY 10 at approximately 300 feet operating E to W and W to E. No disruption to present airport operations. St Thomas PD and UVI Campus Security notified at. UVI Campus Security located the operator at the UVI soccer field and issued the operator a warning. AWO notified. ","['rwy10 ']","[]","['TCT', 'AWO']","5/17/2021","23:12","2021-05-17T23:12Z",NA,"DEN","UAS",NA,"STT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"RWY 10","STT","RUNWAY"
"At approximately 1831, aircraft observed 4 silver colored UAS pass below while on 6 NM final to RWY 30L at SJC. No evasive action was taken. San Jose PD notified at. ","['rwy30l']","['6 NM ']","['SJC']","6/10/2021","18:59","2021-06-10T18:59Z","SWA116","DEN","UAS",NA,"SJC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"RWY 30L","SJC","RUNWAY"
