"REMARKS","dateonly","timeonly","DATE","CALLSIGN","POD","PRIMARYCODE","SECONDARYCODES","REPORTINGFACILITY","MORID.CEDAR","FACILITY.CEDAR","UTCTIME.CEDAR","UTCTIME24.CEDAR","CALENDARDATE.CEDAR","NEARESTAIRPORT.CEDAR","AIRSPACECLASS.CEDAR","ACLOCATION.CEDAR","ACALTITUDE.CEDAR","ACHEADING.CEDAR","RELATIVECLOCKPOSITION.CEDAR","UASLONG.CEDAR","UASLAT.CEDAR","SUMMARY.CEDAR","QAFINDINGS.CEDAR","DATASET","UASLOCATION","RWYLOCATION"
"PIC reported a black quad-copter at 1,000FT while heading SSE bound 10 NM S BUR. No evasive action taken. LAPD Aviation Unit notified at.","9/23/2018","0:55","2018-09-23T00:55Z","N5766J","DEN","UAS",NA,"BUR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AIRPORT","10 NM S BUR",NA
"Pilot reported a UAS in the 3 O'clock position at 2,500 feet, 7 NM W of Harford Airport. No evasive action reported. LEO notified. ","9/23/2018","23:06","2018-09-23T23:06Z","N537A","DEN","UAS",NA,"Y90",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AIRPORT(?)","7 NM W of Y90",NA
"Pilot reported a white and blue UAS at b600 feet below the right side while W bound at 3,000 feet, 5 NM S San Juan Airport. San Juan PD notified at 787-791-333.","9/24/2018","1:52","2018-09-24T01:52Z","KAP211","DEN","UAS",NA,"SJU",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AIRPORT(?)","5 NM S  SJU",NA
"Pilot reported a red UAS off left side while SE bound at 4,500 feet 10 NM E of Akron. No evasive action taken. Stark County Sheriff notified at. ","9/24/2018","4:55","2018-09-24T04:55Z","N730U","DEN","UAS",NA,"CAK",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AIRPORT(?)","10 NM E of CAK",NA
"Pilot reported agreen UAS off left side while SE bound at 4,500 feet 15 NM SE of Akron. No evasive action taken. Stark County Sheriff notified at. ","9/24/2018","5:03","2018-09-24T05:03Z","N730U","DEN","UAS",NA,"CAK",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AIRPORT(?)","15 NM SE of CAK",NA
"A civilian in a vehicle reported a grey UAS approximately 300 feet 2-3 NM N of JFK. No Aircraft involved. NYPD Aviation unit notified at and Nassau County Sheriff Aviation Unit notified at.","9/25/2018","0:12","2018-09-25T00:12Z",NA,"DEN","UAS",NA,"JFK",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AIRPORT(?)","3 NM N of JFK",NA
"Pilot reported two black UAS, 8 NM NE of Richmond, VA. No altitude reported. No evasive action taken. Hanover County Sheriff notified at. ","9/25/2018","23:27","2018-09-25T23:27Z","N286BA","DEN","UAS",NA,"PCT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AIRPORT(?)","8 NM NE of PCT",NA
"Jumper reported a UAS while N bound at 2,000-3,000 feet 2 NM N San Diego, CA. No evasive action taken. Law enforcement was not notified. ","9/28/2018","3:12","2018-09-28T03:12Z","GKA609","DEN","UAS",NA,"SDM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AIRPORT(?)","2 NM N  SDM",NA
"Reported observing a UAS SE bound at Irondequoit Bay off the left side while NW bound at 2,500 feet, 7 NM NE of ROC. No evasive action taken. Monroe County Sheriff 911 Center was notified. ","9/28/2018","23:49","2018-09-28T23:49Z","JIA5109","DEN","UAS",NA,"ROC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AIRPORT(?)","7 NM NE of ROC",NA
"Reported sighting a black UAS at the same altitude off of the left side while at 4,500 feet, 16 NM ESE of Oakland. No evasive action reported. Freemont PD notified at. ","9/29/2018","6:27","2018-09-29T06:27Z","FDX1363","DEN","UAS",NA,"NCT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AIRPORT(?)","16 NM ESE of NCT",NA
"Pilot reported a UAS form 3 o'clock position while WSW bound at 6,000 feet, 5 NM NE of Newark. No evasive action taken. NH State PD notified at. ","10/1/2018","3:35","2018-10-01T03:35Z","N341DC","DEN","UAS",NA,"N90",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AIRPORT(?)","5 NM NE of N90",NA
"Reported observing a UAS operating at 1,500 feet while SW bound at 1,700 on final 5 NM NE of LGA. No evasive action taken. NYPD notified at. ","10/1/2018","3:37","2018-10-01T03:37Z","EDV5005","DEN","UAS",NA,"LGA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AIRPORT(?)","5 NM NE of LGA",NA
"Pilot reported a black UAS 500 feet below aircraft at 3,000 feet at 12 O'clock, while NE bound, 7 NM SW LGA. No evasive action reported. NYPD Aviation Unit notified at. ","10/1/2018","4:47","2018-10-01T04:47Z","EDV3452","DEN","UAS",NA,"N90",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AIRPORT","7 NM SW LGA",NA
"Pilot reported a UAS operating 600 feet to 800 feet while SE bound at unknown altitude, 1.5 NM NW SGJ. No evasive action reported. St. Johns County PD notified at. ","10/2/2018","23:52","2018-10-02T23:52Z","N479ER","DEN","UAS",NA,"SGJ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AIRPORT","1.5 NM NW SGJ",NA
"PIC reported a black quad-copter UAS 200FT below while W bound at 1,000FT 1 NM S McAllen Airport. No evasive action reported. McAllen airport ops notified at.","10/3/2018","23:42","2018-10-03T23:42Z","G72093","DEN","UAS",NA,"MFE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AIRPORT(?)","1 NM S  MFE",NA
"PIC reported a UAS at same altitude while E bound at 12,000FT 15 NM NE Oakland Airport. No evasive action reported. Danville PD notified at.","10/4/2018","4:05","2018-10-04T04:05Z","UAL727","DEN","UAS",NA,"NCT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AIRPORT(?)","15 NM NE  NCT",NA
"PIC reported a balloon shaped UAS with a camera while S bound at 13,500FT 5 NM N Currituck. The flight split formation to avoid UAS. Currituck County Sheriff notified at.","10/4/2018","4:07","2018-10-04T04:07Z","WILDT51","DEN","UAS",NA,"ZDC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AIRPORT(?)","5 NM N  ZDC",NA
"PIC reported a red UAS 100FT below Aircraft of 2,000FT 6 NM W Palm Beach. No evasive action taken. Palm Beach Sheriff notified at.","10/5/2018","3:25","2018-10-05T03:25Z","AAL1635","DEN","UAS",NA,"PBI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AIRPORT(?)","6 NM W  PBI",NA
"PIC reported a UAS at 800FT while heading NNW, 2 NM SSE Denver. Evasive action not reported. LEO notification not reported.","10/5/2018","3:55","2018-10-05T03:55Z","SKW5169","DEN","UAS",NA,"D01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AIRPORT(?)","2 NM SSE  D01",NA
